model,class,precision,recall_sensitivity,f1,auroc,auprc,support
efficientnet,Inflammatory,0.9736842105263158,0.9446808510638298,0.958963282937365,0.9977626672515902,0.9919175472287877,235
efficientnet,Eyelid,0.9746376811594203,0.9817518248175182,0.9781818181818182,0.9991422920058114,0.9974236119647538,274
efficientnet,Normal,0.9963369963369964,0.9963369963369964,0.9963369963369964,0.9998663850977018,0.999864627682674,546
efficientnet,Hemorrhage,0.8275862068965517,0.9056603773584906,0.8648648648648649,0.9948850934454082,0.9451187502040407,53
mobilenet,Inflammatory,0.9453781512605042,0.9574468085106383,0.9513742071881607,0.9976408081694329,0.9917182580942959,235
mobilenet,Eyelid,0.9676258992805755,0.9817518248175182,0.9746376811594203,0.9989716256192127,0.9969409039669894,274
mobilenet,Normal,0.9981684981684982,0.9981684981684982,0.9981684981684982,0.9999152685985426,0.9999116144393958,546
mobilenet,Hemorrhage,0.9347826086956522,0.8113207547169812,0.8686868686868687,0.9972458195475274,0.954303580471917,53
resnet18,Inflammatory,0.9683257918552036,0.9106382978723404,0.9385964912280702,0.9965099558870123,0.9828902869458335,235
resnet18,Eyelid,0.9746376811594203,0.9817518248175182,0.9781818181818182,0.9991641723117856,0.9974170507234227,274
resnet18,Normal,0.9981684981684982,0.9981684981684982,0.9981684981684982,0.9998859384980381,0.9998892817005738,546
resnet18,Hemorrhage,0.7230769230769231,0.8867924528301887,0.7966101694915254,0.9793972994724135,0.8963508258934227,53
