model,class,policy,threshold,sensitivity,specificity,ppv,npv
efficientnet,Inflammatory,max_f1,0.36655300855636597,0.9574468085106383,0.9908361970217641,0.9656652360515021,0.9885714285714285
efficientnet,Inflammatory,high_sens_0.95,0.40078747272491455,0.9531914893617022,0.9919816723940436,0.9696969696969697,0.9874572405929305
efficientnet,Inflammatory,high_spec_0.95,0.028816938400268555,0.9957446808510638,0.9507445589919816,0.8447653429602888,0.9987966305655837
efficientnet,Eyelid,max_f1,0.5455722808837891,0.9817518248175182,0.9940047961630696,0.9817518248175182,0.9940047961630696
efficientnet,Eyelid,high_sens_0.95,0.6109105944633484,0.9744525547445255,0.9952038369304557,0.985239852398524,0.991636798088411
efficientnet,Eyelid,high_spec_0.95,0.04025949165225029,1.0,0.9544364508393285,0.8782051282051282,1.0
efficientnet,Normal,max_f1,0.41877272725105286,0.9981684981684982,0.998220640569395,0.9981684981684982,0.998220640569395
efficientnet,Normal,high_sens_0.95,0.9531042575836182,0.9652014652014652,1.0,1.0,0.9672977624784854
efficientnet,Normal,high_spec_0.95,0.011542570777237415,1.0,0.9590747330960854,0.9595782073813708,1.0
efficientnet,Hemorrhage,max_f1,0.881438136100769,0.8679245283018868,0.9962085308056872,0.92,0.9933837429111532
efficientnet,Hemorrhage,high_sens_0.95,0.0529814213514328,0.9622641509433962,0.9658767772511848,0.5862068965517241,0.9980411361410382
efficientnet,Hemorrhage,high_spec_0.95,0.0529814213514328,0.9622641509433962,0.9658767772511848,0.5862068965517241,0.9980411361410382
mobilenet,Inflammatory,max_f1,0.3092631995677948,0.9702127659574468,0.981672394043528,0.9344262295081968,0.9918981481481481
mobilenet,Inflammatory,high_sens_0.95,0.4956451654434204,0.9531914893617022,0.9851088201603666,0.9451476793248945,0.9873708381171068
mobilenet,Inflammatory,high_spec_0.95,0.03643320873379707,0.9914893617021276,0.9599083619702177,0.8694029850746269,0.9976190476190476
mobilenet,Eyelid,max_f1,0.481044739484787,0.9854014598540146,0.9892086330935251,0.967741935483871,0.9951749095295537
mobilenet,Eyelid,high_sens_0.95,0.6575016975402832,0.9708029197080292,0.9916067146282974,0.9743589743589743,0.9904191616766467
mobilenet,Eyelid,high_spec_0.95,0.019946018233895302,1.0,0.9556354916067147,0.8810289389067524,1.0
mobilenet,Normal,max_f1,0.6016080379486084,0.9981684981684982,0.998220640569395,0.9981684981684982,0.998220640569395
mobilenet,Normal,high_sens_0.95,0.9789837002754211,0.9597069597069597,1.0,1.0,0.9623287671232876
mobilenet,Normal,high_spec_0.95,0.06073250249028206,1.0,0.9911032028469751,0.9909255898366606,1.0
mobilenet,Hemorrhage,max_f1,0.7343335151672363,0.7924528301886793,0.9990521327014218,0.9767441860465116,0.9896713615023475
mobilenet,Hemorrhage,high_sens_0.95,0.09330112487077713,0.9622641509433962,0.9838862559241706,0.75,0.9980769230769231
mobilenet,Hemorrhage,high_spec_0.95,0.044810809195041656,1.0,0.9772511848341232,0.6883116883116883,1.0
resnet18,Inflammatory,max_f1,0.05379241332411766,0.9787234042553191,0.9828178694158075,0.9387755102040817,0.9942062572421785
resnet18,Inflammatory,high_sens_0.95,0.17275868356227875,0.9574468085106383,0.9862542955326461,0.9493670886075949,0.9885189437428243
resnet18,Inflammatory,high_spec_0.95,0.011383295059204102,1.0,0.9656357388316151,0.8867924528301887,1.0
resnet18,Eyelid,max_f1,0.33865219354629517,0.9927007299270073,0.9892086330935251,0.9679715302491103,0.9975816203143894
resnet18,Eyelid,high_sens_0.95,0.8505270481109619,0.9635036496350365,0.9964028776978417,0.9887640449438202,0.9881093935790726
resnet18,Eyelid,high_spec_0.95,0.09121635556221008,1.0,0.9664268585131894,0.9072847682119205,1.0
resnet18,Normal,max_f1,0.8812358379364014,0.9981684981684982,0.998220640569395,0.9981684981684982,0.998220640569395
resnet18,Normal,high_sens_0.95,0.9313457608222961,0.9963369963369964,1.0,1.0,0.9964539007092199
resnet18,Normal,high_spec_0.95,0.8812358379364014,0.9981684981684982,0.998220640569395,0.9981684981684982,0.998220640569395
resnet18,Hemorrhage,max_f1,0.7174414396286011,0.8679245283018868,0.9895734597156398,0.8070175438596491,0.9933396764985728
resnet18,Hemorrhage,high_sens_0.95,0.007507877890020609,0.9622641509433962,0.8976303317535546,0.32075471698113206,0.9978925184404637
resnet18,Hemorrhage,high_spec_0.95,0.2261481136083603,0.9056603773584906,0.9791469194312796,0.6857142857142857,0.9951830443159922
